request_id,app_id,point_x,point_y,entry_node,node_1,node_2,node_3,propagation_ms,processing_ms,latency_max_ms,slo_violation,total_ms,status
837,APP-COM,1.626795,6.636653,UAV-020,UAV-296,UAV-067,UAV-054,3111.968435,120.000000,1600.000000,YES,3231.968435,OK
838,APP-COM,1.344650,7.873536,UAV-025,UAV-288,UAV-029,UAV-287,3163.606012,120.000000,1600.000000,YES,3283.606012,OK
839,APP-COM,0.313313,7.680693,UAV-019,UAV-289,UAV-060,UAV-232,766.518373,120.000000,1600.000000,NO,886.518373,OK
840,APP-COM,2.156599,6.221366,UAV-020,UAV-298,UAV-071,UAV-232,3119.331558,120.000000,1600.000000,YES,3239.331558,OK
841,APP-COM,2.031115,6.685574,UAV-020,UAV-290,UAV-083,UAV-090,3177.831124,120.000000,1600.000000,YES,3297.831124,OK
842,APP-COM,2.064654,7.428707,UAV-025,UAV-292,UAV-241,UAV-246,2910.583371,120.000000,1600.000000,YES,3030.583371,OK
843,APP-COM,3.548039,6.438502,UAV-031,UAV-031,UAV-060,UAV-037,2422.248795,120.000000,1600.000000,YES,2542.248795,OK
844,APP-COM,4.934740,7.301077,UAV-233,UAV-031,UAV-006,UAV-224,3503.084602,120.000000,1600.000000,YES,3623.084602,OK
845,APP-COM,2.524706,6.198882,UAV-031,UAV-031,UAV-068,UAV-054,2546.170572,120.000000,1600.000000,YES,2666.170572,OK
846,APP-COM,1.319195,7.205501,UAV-025,UAV-008,UAV-005,UAV-223,3246.090437,120.000000,1600.000000,YES,3366.090437,OK
847,APP-COM,0.068056,7.460240,UAV-013,UAV-201,UAV-029,UAV-287,846.103878,120.000000,1600.000000,NO,966.103878,OK
848,APP-COM,0.343438,7.086801,UAV-020,UAV-238,UAV-058,UAV-065,3003.813175,120.000000,1600.000000,YES,3123.813175,OK
849,APP-COM,0.925125,6.573372,UAV-020,UAV-070,UAV-071,UAV-232,3126.051758,120.000000,1600.000000,YES,3246.051758,OK
850,APP-COM,1.749133,6.921139,UAV-025,UAV-004,UAV-003,UAV-287,3196.016400,120.000000,1600.000000,YES,3316.016400,OK
851,APP-COM,2.759048,7.185911,UAV-025,UAV-008,UAV-063,UAV-037,3167.359016,120.000000,1600.000000,YES,3287.359016,OK
852,APP-COM,0.688639,6.967828,UAV-020,UAV-296,UAV-068,UAV-054,3195.573287,120.000000,1600.000000,YES,3315.573287,OK
853,APP-COM,2.832623,6.119441,UAV-031,UAV-031,UAV-083,UAV-090,2480.161602,120.000000,1600.000000,YES,2600.161602,OK
854,APP-COM,1.571794,6.212736,UAV-020,UAV-297,UAV-083,UAV-302,3100.230567,120.000000,1600.000000,YES,3220.230567,OK
855,APP-COM,3.767543,7.975076,UAV-233,UAV-031,UAV-005,UAV-224,3356.743830,120.000000,1600.000000,YES,3476.743830,OK
856,APP-COM,0.302785,6.120925,UAV-020,UAV-009,UAV-006,UAV-224,3089.672779,120.000000,1600.000000,YES,3209.672779,OK
857,APP-COM,2.121465,7.665676,UAV-025,UAV-016,UAV-241,UAV-065,3167.244713,120.000000,1600.000000,YES,3287.244713,OK
858,APP-COM,4.822620,6.742618,UAV-233,UAV-031,UAV-007,UAV-284,3611.372410,120.000000,1600.000000,YES,3731.372410,OK
859,APP-COM,3.302969,6.854843,UAV-233,UAV-031,UAV-007,UAV-284,3382.004028,120.000000,1600.000000,YES,3502.004028,OK
860,APP-COM,4.830651,7.873072,UAV-038,UAV-298,UAV-071,UAV-200,396.639136,120.000000,1600.000000,NO,516.639136,OK
861,APP-COM,1.058455,6.030835,UAV-020,UAV-035,UAV-005,UAV-223,3056.206092,120.000000,1600.000000,YES,3176.206092,OK
862,APP-COM,3.532734,6.380001,UAV-031,UAV-031,UAV-029,UAV-287,2603.377075,120.000000,1600.000000,YES,2723.377075,OK
863,APP-COM,1.413393,6.628356,UAV-020,UAV-017,UAV-060,UAV-232,3187.069347,120.000000,1600.000000,YES,3307.069347,OK
864,APP-COM,4.216817,7.663386,UAV-233,UAV-031,UAV-003,UAV-246,3778.317688,120.000000,1600.000000,YES,3898.317688,OK
865,APP-COM,2.849595,6.446799,UAV-031,UAV-031,UAV-029,UAV-287,2424.292045,120.000000,1600.000000,YES,2544.292045,OK
866,APP-COM,0.558540,7.789980,UAV-019,UAV-036,UAV-067,UAV-037,844.019728,120.000000,1600.000000,NO,964.019728,OK
867,APP-COM,3.391043,7.822432,UAV-233,UAV-031,UAV-007,UAV-284,3555.238031,120.000000,1600.000000,YES,3675.238031,OK
868,APP-COM,2.900203,7.795037,UAV-025,UAV-041,UAV-083,UAV-090,2975.802772,120.000000,1600.000000,YES,3095.802772,OK
869,APP-COM,4.567522,6.989438,UAV-233,UAV-031,UAV-060,UAV-054,3491.690809,120.000000,1600.000000,YES,3611.690809,OK
870,APP-COM,1.051169,7.740150,UAV-025,UAV-046,UAV-068,UAV-302,3314.420476,120.000000,1600.000000,YES,3434.420476,OK
871,APP-COM,3.703837,7.701352,UAV-233,UAV-031,UAV-241,UAV-065,3507.165318,120.000000,1600.000000,YES,3627.165318,OK
872,APP-COM,3.350281,6.713952,UAV-233,UAV-031,UAV-003,UAV-200,3570.577743,120.000000,1600.000000,YES,3690.577743,OK
873,APP-COM,3.160661,6.558187,UAV-233,UAV-031,UAV-005,UAV-224,3566.836975,120.000000,1600.000000,YES,3686.836975,OK
874,APP-COM,1.534199,6.462118,UAV-020,UAV-051,UAV-005,UAV-223,2955.511522,120.000000,1600.000000,YES,3075.511522,OK
875,APP-COM,1.986201,7.996555,UAV-025,UAV-056,UAV-241,UAV-200,3022.499795,120.000000,1600.000000,YES,3142.499795,OK
876,APP-COM,3.584237,7.289233,UAV-233,UAV-031,UAV-029,UAV-287,3554.992738,120.000000,1600.000000,YES,3674.992738,OK
877,APP-COM,1.874488,6.250854,UAV-020,UAV-064,UAV-058,UAV-232,3155.773887,120.000000,1600.000000,YES,3275.773887,OK
878,APP-COM,4.015935,7.039941,UAV-233,UAV-031,UAV-006,UAV-224,3430.253159,120.000000,1600.000000,YES,3550.253159,OK
879,APP-COM,3.139349,7.748963,UAV-233,UAV-031,UAV-063,UAV-246,3469.649730,120.000000,1600.000000,YES,3589.649730,OK
